wkt_geom,ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,_band___va,_band___pa
Point (439704 558180),MH,,,NZ39587103,CH,C,29890,,
Point (439384.50300000002607703 558248.28700000001117587),Null,,,NZ3958P152,RE,F,30590,,
Point (439577.5 558245.5),FC,,,NZ39585202,CH,C,29930,,
Point (439576 558252.5),MH,,,NZ39585201,CH,C,29930,,
Point (439382.73800000001210719 558251.462000000057742),Null,,500,NZ3958P153,RE,F,30600,,
Point (439465 558264.5),MH,,,NZ39584203,CH,C,30580,,
Point (439400.5 558263),MH,,,NZ39584205,CH,C,30540,,
Point (439461 558270),MH,,,NZ39584204,CH,C,30650,,
Point (439398 558266.5),MH,,1430,NZ39583216,CH,C,30570,,
Point (439741.60499999998137355 558309.01100000005681068),MH,,,NZ39587305,CH,C,28360,,
Point (439520 558282.5),MH,,,NZ39585203,CH,C,30840,,
Point (439384 558337),MH,,,NZ39583301,CH,C,30930,,
Point (439735.52000000001862645 558317.19400000001769513),Null,,,NZ39587306,CE,C,28300,,
Point (439553.12800000002607703 558342.85499999998137355),MH,,,NZ39585303,CH,C,30130,,
Point (439542.26500000001396984 558339.45200000004842877),MH,,,NZ39585306,CH,C,30390,,
Point (439390.67599999997764826 558238.6720000000204891),Null,,,NZ3958P151,RE,F,30540,,
Point (439403.37599999998928979 558237.79200000001583248),MH,,1310,NZ39584208,CH,S,30500,,
Point (439637.83100000000558794 558072.0659999999916181),MH,,2640,NZ39586006,CH,C,30000,,
Point (439341.90399999998044223 558242.34400000004097819),Null,,,NZ39583220,J,S,30900,,
Point (439435.31900000001769513 558081.66200000001117587),MH,,6180,NZ39584004,CH,C,30260,,
Point (439577 558078),MH,,,NZ39585002,CH,C,30000,,
Point (439752 558090),MH,,,NZ39587004,CH,C,30000,,
Point (439560.5 558085.25),MH,,,NZ39585008,CH,C,30030,,
Point (439529 558095.5),MH,,,NZ39585001,CH,C,30080,,
Point (439510 558092.25),MH,,,NZ39585009,CH,C,30100,,
Point (439748 558099.99899999995250255),MH,,,NZ39587005,CH,C,30000,,
Point (439507.66499999997904524 558097.33999999996740371),MH,,3070,NZ39585011,CH,C,30110,,
Point (439608 558105),MH,,,NZ39586102,CH,C,30000,,
Point (439727.5 558103),MH,,,NZ39587102,CH,C,30000,,
Point (439745 558109),MH,,,NZ39587101,CH,C,30000,,
Point (439576.73599999997531995 558106.86499999999068677),MH,,,NZ39585103,CH,C,30000,,
Point (439396.15600000001722947 558223.5969999999506399),Null,,,NZ39583222,J,F,30500,,
Point (439401.35100000002421439 558222.712000000057742),Null,,,NZ3958P158,RE,F,30480,,
Point (439421.25 558227),MH,,1670,NZ39584202,CH,S,30410,,
Point (439398.8809999999939464 558226.59199999994598329),Null,,,NZ3958P063,RE,F,30510,,
Point (439352.5 558229.5),MH,,,NZ39583204,CH,F,30700,,
Point (439351.5 558227),MH,,,NZ39583203,CH,S,30700,,
Point (439391.55800000001909211 558230.64899999997578561),MH,,1560,NZ39583223,CH,S,30530,,
Point (439374.35300000000279397 558230.61899999994784594),Null,,,NZ3958P160,PC,S,30600,,
Point (439378.14500000001862645 558232.91099999996367842),Null,,,NZ3958P159,PC,S,30590,,
Point (439390.94300000002840534 558231.9719999999506399),Null,,,NZ39583224,J,F,30530,,
Point (439377.17300000000977889 558234.85300000000279397),Null,,500,NZ3958P149,RE,F,30590,,
Point (439393.14600000000791624 558234.35100000002421439),Null,,,NZ3958P150,RE,F,30530,,
Point (439387.49200000002747402 558235.46499999996740371),Null,,,NZ39583226,J,S,30560,,
Point (439388.64799999998649582 558235.23400000005494803),Null,,,NZ39583225,J,F,30560,,
Point (439367.69799999997485429 558237.63199999998323619),Null,,,NZ3958AT50,ATC,S,30630,,
Point (439379.90799999999580905 558235.82299999997485429),Null,,,NZ39583227,J,F,30590,,
Point (439338.76199999998789281 558224.70200000004842877),Null,,,NZ3958AT44,ATC,S,30850,,
Point (439337.9280000000144355 558260.25),MH,,1660,NZ39583249,CH,S,31060,,
Point (439340.85300000000279397 558230.99699999997392297),Null,,,NZ3958P141,PC,S,30840,,
Point (439340.25 558245),MH,,2030,NZ39583206,CH,S,30920,,
Point (439416.0779999999795109 558199.25199999997857958),Null,,,NZ3958P076,RE,F,30390,,
Point (439412.02299999998649582 558198.54399999999441206),MH,,1860,NZ39584121,CH,S,30410,,
Point (439407.62099999998463318 558205.69400000001769513),Null,,,NZ39584206,J,F,30440,,
Point (439425.95600000000558794 558202.42700000002514571),MH,,,NZ39584209,CH,S,30360,,
Point (439410.08100000000558794 558209.21699999994598329),Null,,,NZ3958P061,RE,F,30420,,
Point (439436.25 558207),MH,,,NZ39584201,CH,C,30330,,
Point (439405.58299999998416752 558216.0969999999506399),Null,,,NZ3958P062,RE,F,30450,,
Point (439403.03299999999580905 558212.74899999995250255),Null,,,NZ39584207,J,F,30470,,
Point (439390.66499999997904524 558219.33100000000558794),MH,,1160,NZ39583231,CH,F,30510,,
Point (439399.0659999999916181 558218.9220000000204891),Null,,,NZ39583221,J,F,30490,,
Point (439387.58000000001629815 558222.0659999999916181),MH,,950,NZ39583230,CH,S,30540,,
Point (439384.49499999999534339 558220.12300000002142042),Null,,,NZ39583229,ZZZ,S,30550,,
Point (439324.5 558274),MH,,2230,NZ39583211,CH,F,31290,,
Point (439323.39100000000325963 558216.80000000004656613),Null,,240,NZ3958P140,RE,F,30990,,
Point (439327.25 558211.25),MH,,2340,NZ39583201,CH,S,30910,,
Point (439324.55700000002980232 558216.69599999999627471),Null,,,NZ3958AT45,ATC,S,30990,,
Point (439327.35800000000745058 558216.44700000004377216),MH,,1980,NZ39583219,CH,S,30930,,
Point (439327.25 558213),MH,,3280,NZ39583202,CH,F,30910,,
Point (439328.45799999998416752 558275.03500000003259629),MH,,1710,NZ39583240,CH,S,31260,,
Point (439328 558265),MH,,1670,NZ39583209,CH,S,31210,,
Point (439330.10700000001816079 558278.95499999995809048),Null,,,NZ3958AT55,ATC,F,31200,,
Point (439329.91800000000512227 558237),Null,,,NZ39583255,J,F,31040,,
Point (439330.39500000001862645 558276.18000000005122274),Null,,,NZ39583241,J,F,31200,,
Point (439330.35800000000745058 558234.52700000000186265),Null,,500,NZ3958P143,RE,F,30960,,
Point (439332.25 558257.5),MH,,1930,NZ39583208,CH,S,31090,,
Point (439332.12099999998463318 558235.6720000000204891),Null,,,NZ3958P142,RE,F,30990,,
Point (439335 558257.5),MH,,2480,NZ39583207,CH,F,31040,,
Point (439332.29800000000977889 558238.49399999994784594),MH,,1580,NZ39583254,CH,S,30990,,
Point (439377.17999999999301508 558259.8349999999627471),Null,,510,NZ3958P154,RE,F,30620,,
Point (439374.98800000001210719 558274.75199999997857958),Null,,,NZ3958P164,PC,S,30710,,
Point (439380.25 558290.5),MH,,1310,NZ39583215,CH,S,30710,,
Point (439380.12099999998463318 558273.71299999998882413),Null,,,NZ3958AT53,ATC,S,30630,,
Point (439307.78100000001722947 558227.2970000000204891),Null,,,NZ39583258,J,F,31220,,
Point (439380.35800000000745058 558248.55200000002514571),Null,,,NZ39583237,J,F,30590,,
Point (439309.45699999999487773 558224.91200000001117587),MH,,1440,NZ39583257,CH,S,31190,,
Point (439307.96299999998882413 558274.91899999999441206),Null,,,NZ3958AT64,ATC,S,31460,,
Point (439310.79899999999906868 558273.89599999994970858),MH,,330,NZ39583251,CH,F,31410,,
Point (439309.54599999997299165 558205.77399999997578561),MH,,1600,NZ39583217,CH,S,31110,,
Point (439311.07099999999627471 558224.75600000005215406),Null,,,NZ3958AT66,ATC,F,31130,,
Point (439311.04300000000512227 558225.88699999998789281),Null,,,NZ39583256,J,F,31160,,
Point (439319.26600000000325963 558258.287999999942258),MH,,,NZ39583252,CH,S,31270,,
Point (439311.22100000001955777 558218.65200000000186265),Null,,500,NZ3958P185,RE,F,31110,,
Point (439323 558272.5),MH,,1780,NZ39583210,CH,S,31290,,
Point (439321.11599999997997656 558257.75800000003073364),MH,,,NZ39583253,CH,F,31210,,
Point (439356.5 558323.5),MH,,,NZ39583302,CH,S,31310,,
Point (439355.47800000000279397 558252.5779999999795109),MH,,1250,NZ39583234,CH,S,30780,,
Point (439359.25 558323),MH,,2770,NZ39583303,CH,C,31310,,
Point (439358.5470000000204891 558254.56000000005587935),Null,,,NZ3958AT49,ATC,S,30780,,
Point (439363.94500000000698492 558258.04599999997299165),Null,,,NZ3958P162,RE,S,30750,,
Point (439362 558324),MH,,,NZ39583304,CH,C,31230,,
Point (439368.24099999997997656 558266),Null,,,NZ3958AT52,ATC,S,30740,,
Point (439367.30599999998230487 558268.92399999999906868),MH,,1220,NZ3958P163,CH,F,30740,,
Point (439369.42300000000977889 558271.9220000000204891),Null,,,NZ3958P157,RE,F,30770,,
Point (439368.89000000001396984 558266.462000000057742),Null,,,NZ3958AT51,ATC,F,30740,,
Point (439370.481000000028871 558270.51199999998789281),Null,,,NZ3958P156,PC,S,30710,,
Point (439370.47000000003026798 558244.731000000028871),Null,,,NZ3958P161,RE,F,30620,,
Point (439373.29200000001583248 558246.05299999995622784),MH,,1280,NZ39583232,CH,F,30630,,
Point (439372.24300000001676381 558261.25199999997857958),Null,,,NZ39583235,J,F,30660,,
Point (439374.80099999997764826 558263.98400000005494803),Null,,500,NZ3958P155,RE,F,30660,,
Point (439374.62599999998928979 558257.28200000000651926),Null,,,NZ39583236,J,F,30640,,
Point (439347.33000000001629815 558286.23499999998603016),Null,,,NZ39583246,J,F,31080,,
Point (439346.53700000001117587 558289.35100000002421439),Null,,,NZ3958AT58,ATC,F,31080,,
Point (439347.92300000000977889 558290.26800000004004687),Null,,,NZ3958AT59,ATC,F,31110,,
Point (439347.59499999997206032 558291.96799999999348074),Null,,510,NZ3958P173,RE,F,31110,,
Point (439348.56500000000232831 558286.94000000006053597),Null,,,NZ39583247,J,F,31080,,
Point (439348.26500000001396984 558290.47900000005029142),Null,,,NZ3958AT61,ATC,S,31110,,
Point (439348.86300000001210719 558262.36800000001676381),Null,,,NZ3958P176,PC,F,30950,,
Point (439348.79399999999441206 558264.82600000000093132),Null,,,NZ3958AT63,ATC,S,30950,,
Point (439350.77000000001862645 558294.26000000000931323),Null,,,NZ3958P174,PC,S,31050,,
Point (439350.36300000001210719 558263.42599999997764826),Null,,,NZ3958P178,PC,S,30890,,
Point (439352.00400000001536682 558268.80500000005122274),Null,,,NZ3958AT62,ATC,F,30920,,
Point (439350.94500000000698492 558288.17500000004656613),MH,,1300,NZ39583248,CH,F,31030,,
Point (439352.74499999999534339 558269.24600000004284084),MH,,1340,NZ3958P177,CH,F,30920,,
Point (439352.59200000000419095 558291.62199999997392297),Null,,,NZ3958AT60,ATC,F,31050,,
Point (439355 558283.25),MH,,1170,NZ39583214,CH,S,30940,,
