wkt_geom,UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID
"MultiLineString ((435480.5 558993, 435501 558922.5))",,,NZ35585901,NZ35584903,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S007705
"MultiLineString ((435576.01000000000931323 559029.40899999998509884, 435657 558970))",1900,1450,NZ35586901,NZ35595001,GRV,225,,VC,1945,225,1.7,Z,C,,STE-S007706
"MultiLineString ((435413 559037.5, 435410.5 558952))",,,NZ35584902,NZ35594002,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S007896
"MultiLineString ((435477.5 559065, 435390 559096.5))",1630,1570,NZ35593001,NZ35594001,GRV,150,,VC,1945,225,1.6,Z,C,,STE-S025390
"MultiLineString ((435544 558998.5, 435518 558992))",,,NZ35585904,NZ35585905,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S025210
"MultiLineString ((435459.75 559119, 435444 559107))",,1360,NZ35594105,NZ35594104,GRV,225,,Z,1945,225,1.4,Z,C,,STE-S025398
"MultiLineString ((435390 559096.5, 435346.5 559116))",1540,1630,NZ35593101,NZ35593001,GRV,150,,VC,1945,225,1.6,Z,C,,STE-S007875
"MultiLineString ((435470 559158.5, 435459.75 559119))",,1440,NZ35594104,NZ35594103,GRV,225,,Z,1945,225,1.4,Z,C,,STE-S007882
"MultiLineString ((435444 559107, 435379 559127.5))",,,NZ35593102,NZ35594105,GRV,225,,Z,1945,225,1.9,Z,C,,STE-S007876
"MultiLineString ((435418 559137.5, 435396 559143))",2270,,NZ35593103,NZ35594102,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S007877
"MultiLineString ((435394.95600000000558794 559138.99300000001676381, 435379 559127.5))",,,NZ35593102,NZ35593105,GRV,225,,VC,1955,225,2,Z,C,,STE-S1255891
"MultiLineString ((435402 559179, 435396 559143))",2270,,NZ35593103,NZ35594101,GRV,225,,VC,1955,225,1.8,Z,C,,STE-S025392
"MultiLineString ((435396 559143, 435394.95600000000558794 559138.99300000001676381))",,2270,NZ35593105,NZ35593103,GRV,225,,VC,1955,225,2,Z,C,,STE-S025391
"MultiLineString ((435353 559194.5, 435402 559179))",,,NZ35594101,NZ35593104,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S007881
"MultiLineString ((435472.90799999999580905 559181.42000000004190952, 435470 559158.5))",1440,1310,NZ35594103,NZ35594106,GRV,225,,Z,1955,225,1.9,Z,C,,STE-S345050
